No,Year,Month,Day,Minutes,Seconds,Largest Magnitude
146,2023,3,19,47,52.1,3.5
147,2023,3,19,53,47.1,3.6
148,2023,3,19,25,57.9,3.7
149,2023,3,19,36,37.9,3.5
150,2023,3,19,12,24.5,3.5
151,2023,3,19,56,44.8,4.4
152,2023,3,19,54,24.1,4.4
153,2023,3,19,25,25.6,3.8
154,2023,3,19,41,7.0,3.7
155,2023,3,19,31,44.6,3.6
156,2023,3,18,14,36.3,3.8
157,2023,3,18,30,4.2,3.6
158,2023,3,18,43,39.5,4.1
159,2023,3,18,31,5.7,3.7
160,2023,3,18,25,30.8,4.2
161,2023,3,18,55,40.9,3.9
162,2023,3,18,38,8.8,3.5
163,2023,3,18,14,28.7,4.6
164,2023,3,18,1,48.6,3.5
165,2023,3,18,40,3.8,4.1
166,2023,3,17,20,39.5,3.9
167,2023,3,17,24,10.6,3.9
168,2023,3,17,41,11.5,4.1
169,2023,3,16,24,31.5,3.5
170,2023,3,16,59,12.3,4.5
171,2023,3,16,38,37.7,3.5
172,2023,3,16,36,1.0,3.9
173,2023,3,16,13,17.6,3.9
174,2023,3,16,12,32.2,3.5
175,2023,3,16,55,6.0,4.7
176,2023,3,16,2,4.2,3.5
177,2023,3,15,28,27.6,3.8
178,2023,3,15,49,33.0,4.0
179,2023,3,15,29,53.9,4.0
180,2023,3,14,42,28.9,3.5
181,2023,3,14,55,15.3,4.0
182,2023,3,14,49,47.5,4.9
183,2023,3,14,57,55.5,3.8
184,2023,3,14,33,23.6,3.5
185,2023,3,14,47,33.4,4.7
186,2023,3,14,16,59.2,3.7
187,2023,3,14,27,50.6,4.1
188,2023,3,13,6,20.5,3.9
189,2023,3,13,17,44.3,3.8
190,2023,3,13,4,1.2,3.5
191,2023,3,13,23,13.5,4.4
192,2023,3,13,13,51.2,4.5
193,2023,3,13,0,46.0,3.5
194,2023,3,13,34,29.7,4.8
195,2023,3,12,41,28.9,3.7
196,2023,3,12,55,10.4,3.5
197,2023,3,12,54,21.0,3.6
198,2023,3,12,36,46.1,3.6
199,2023,3,12,31,58.1,3.7
200,2023,3,12,1,21.1,3.6
201,2023,3,12,31,20.4,4.3
202,2023,3,12,14,55.7,3.8
203,2023,3,12,40,51.9,3.7
204,2023,3,11,35,16.6,4.2
205,2023,3,11,32,8.3,3.8
206,2023,3,11,32,3.4,3.8
207,2023,3,11,30,7.8,3.7
208,2023,3,11,39,22.9,3.7
209,2023,3,10,58,33.5,3.9
